time,id,x,y,w,h
33.00 ,1 ,285.18 ,304.84 ,28.98 ,72.20 
66.00 ,1 ,285.18 ,304.83 ,28.97 ,72.20 
99.00 ,1 ,284.91 ,304.41 ,29.32 ,72.12 
133.00 ,1 ,284.65 ,304.21 ,29.87 ,72.04 
166.00 ,1 ,284.10 ,305.25 ,29.95 ,73.68 
199.00 ,1 ,283.91 ,305.71 ,29.99 ,74.29 
233.00 ,1 ,283.77 ,305.74 ,29.73 ,74.31 
266.00 ,1 ,283.96 ,305.58 ,29.45 ,73.65 
299.00 ,1 ,283.99 ,305.94 ,29.62 ,74.08 
333.00 ,1 ,283.90 ,306.07 ,29.70 ,74.30 
366.00 ,1 ,283.89 ,306.16 ,29.79 ,74.23 
400.00 ,1 ,283.96 ,306.01 ,29.84 ,74.03 
433.00 ,1 ,284.04 ,305.91 ,29.79 ,73.75 
466.00 ,1 ,284.08 ,305.79 ,29.79 ,73.15 
500.00 ,1 ,284.34 ,305.93 ,29.70 ,73.61 
533.00 ,1 ,284.32 ,306.33 ,29.54 ,74.01 
566.00 ,1 ,284.34 ,306.52 ,29.46 ,74.13 
600.00 ,1 ,284.55 ,306.65 ,29.10 ,74.50 
633.00 ,1 ,285.07 ,306.61 ,27.73 ,73.91 
666.00 ,1 ,285.16 ,306.66 ,27.57 ,73.93 
700.00 ,1 ,285.21 ,306.73 ,27.50 ,73.94 
733.00 ,1 ,285.60 ,306.50 ,26.45 ,73.74 
767.00 ,1 ,285.87 ,306.69 ,25.58 ,73.55 
800.00 ,1 ,285.74 ,306.79 ,25.73 ,74.30 
833.00 ,1 ,285.93 ,306.39 ,25.49 ,74.40 
867.00 ,1 ,285.87 ,306.16 ,25.74 ,74.07 
900.00 ,1 ,285.32 ,306.45 ,27.01 ,74.29 
933.00 ,1 ,284.93 ,306.53 ,28.04 ,74.52 
967.00 ,1 ,284.85 ,306.39 ,28.91 ,74.85 
1000.00 ,1 ,284.78 ,306.36 ,29.59 ,74.79 
1034.00 ,1 ,284.64 ,306.21 ,29.66 ,74.55 
1067.00 ,1 ,284.60 ,306.17 ,29.69 ,74.44 
1100.00 ,1 ,284.48 ,306.15 ,29.62 ,74.01 
1134.00 ,1 ,284.36 ,305.93 ,29.37 ,73.33 
1167.00 ,1 ,284.84 ,305.78 ,28.78 ,73.06 
1200.00 ,1 ,284.63 ,306.18 ,28.86 ,72.95 
1234.00 ,1 ,284.38 ,306.44 ,28.77 ,72.25 
1267.00 ,1 ,284.29 ,306.58 ,28.71 ,72.04 
1300.00 ,1 ,284.81 ,306.30 ,27.75 ,71.30 
1334.00 ,1 ,285.02 ,306.13 ,27.42 ,71.01 
1367.00 ,1 ,285.11 ,306.06 ,27.28 ,70.91 
1401.00 ,1 ,285.30 ,306.15 ,26.81 ,69.35 
1434.00 ,1 ,285.15 ,306.66 ,26.99 ,69.01 
1467.00 ,1 ,285.31 ,307.03 ,26.79 ,68.22 
1501.00 ,1 ,285.38 ,307.48 ,27.22 ,67.19 
1534.00 ,1 ,285.73 ,307.87 ,26.62 ,67.37 
1567.00 ,1 ,285.85 ,307.92 ,26.53 ,67.61 
1601.00 ,1 ,285.79 ,308.21 ,26.74 ,68.10 
1634.00 ,1 ,285.84 ,307.36 ,27.26 ,68.62 
1667.00 ,1 ,285.40 ,307.22 ,28.57 ,70.10 
1701.00 ,1 ,285.27 ,307.18 ,29.23 ,70.92 
1734.00 ,1 ,284.94 ,307.35 ,29.45 ,71.46 
